Title,Video link,What the police is doing,What the police is armed with,Police Officer in-charge,State ruled by,Who are the victims?,No. of civilian deaths,No. of injured civilians,No. police personnel injured,No. police personnel deaths,Location,Lattitude (°N),Longitude (°E)
Police firing in Mangalore,https://twitter.com/srivatsayb/status/1208052736370954241?s=20,Firing the mob at the protest,Guns,"P.S Harsha, Commissioner of Police, Mangalore
Shantaram Kunder, CCB Inspector, Mangalore",BJP,Residents,2,2,,0,Mangalore,12.9,74.85
Turning a peaceful protest into a violent one,https://twitter.com/Amitjanhit/status/1208229532022398978?s=20 ,Charging lathis at the protestors,"Lathis,Guns",,BJP,Residents,,,,0,Delhi,28.67,77.23
Police damaging property by themselves,https://twitter.com/t_d_h_nair/status/1208039740374732802?s=20,Damaging things by throwing brick,"Bricks,Lathis,guns",,BJP,Residents,,,,0,Delhi,28.67,77.23
Police damaging a car in Bulandshahr,https://twitter.com/GauravPandhi/status/1208069417013170176?s=20,Damaging a car by a lathi,"Bricks,Lathis,guns",,BJP,,,,,0,Bulandshahr,28.4104,77.8484
Police damaging vehicles,https://twitter.com/alishakhan102/status/1208461878646542336?s=20,Damaging vehicles with lathis,Lathis,,BJP,,,,,0,Aurangabad,19.8957,75.3203
BJP workers dressed in skull caps fomenting violence,https://www.telegraphindia.com/states/west-bengal/stone-gang-in-fake-skullcap-held-by-murshidabad-police/cid/1728657,Alleged BJP workers pelting stones at an engine,,,BJP,,,,,0,Murshidabad,24.17,88.28
RSS workers caught damaging shops in Gorakhpur,https://www.telegraphindia.com/india/blood-stains-uttar-pradesh-streets/cid/1729075?utm_source=twitter&utm_medium=social&utm_campaign=tt_daily_twit,Police attacking civilians on the basis of suspicion,,,BJP,,,,,0,Gorakhpur,26.7504,83.38
"CT Ravi, Karnataka BJP, threatening protestors with another Godhra",https://twitter.com/mirrorforyou3/status/1207731416655486976?s=20,Tourism minister CT Ravi claiming that situations like Godhra might arise if the majority loses its patience,,,BJP,,,,,0,Bengaluru,12.97,77.56
A “The Hindu” journalist arrested in UP or no reason because he was Kashmiri,https://www.thehindu.com/news/national/a-first-person-account-by-the-hindu-correspondent-omar-rashid-of-how-he-was-picked-up-threatened-and-released-by-cops/article30361909.ece,Journalist Omar Rashid and Robin Verma arrested and assaulted by the police on suspecting that they were a part of the protest and on the basis that Rashid was a Kashmiri,,,BJP,,,,,0,Lucknow,26.855,80.915
Woman school teacher arrested and beaten brutally,https://www.thequint.com/news/india/sadaf-zabeen-arrested-beaten-by-police,Sadaf Jafar being arrested on questioning the police for not taking strict actions against the stone pelters,,,BJP,,,,,0,Lucknow,26.855,80.915
Police use blows to the head on protestors (the usual method is blows to the legs),https://twitter.com/CNNnews18/status/1208046028479352832,Jama Masjid protestors suffer head injuries after being hit on the head,,,BJP,,,,,0,Delhi,28.67,77.23
Gorakhpur (Ajay Singh Bisht’s hometown),https://twitter.com/azaadindiacol/status/1208488755473993728?s=20,The protestors are being lathi charged,lathis,,BJP,,,,,0,Gorakhpur,26.7504,83.38
Darya Ganj street in Delhi,https://twitter.com/zoyaqureshi_/status/1208030356647088130?s=20,The protestors are water cannoned and lathi charged,,,BJP,,,,,0,Delhi,28.67,77.23
The police literally quoting the PM on “we know what they look like” to randomly pick up someone who looks Muslim,https://twitter.com/saahilmenghani/status/1208062858669350912?s=20,"Police taking hold of a skullcapped man and later quotes Modi by saying ""Kapdo se pehchane jayege""",,,BJP,,,,,0,Delhi,28.67,77.23
Students at AMU have needed medical amputation of arms/limbs,https://twitter.com/DevjyotGhoshal/status/1208621623299002368, Protestors are being attacked by lathis and tear gas. The attack has left many students severely injured,,,BJP,Students,,,,0,Delhi,28.67,77.23
