Link	Caption	Date	City	State	Latitude (°N)	Longitude (°E)
https://twitter.com/deeppatelj/status/1211255098971545606?s=20	Protesters chant slogans against CAA and NRC even as Ahmedabad Police escorts them to Universitiy Police Station.	12/29/19	Ahmedabad	Gujarat	23.0301	72.58
https://twitter.com/satishjha/status/1211259947037724674?s=20	Police drag away protesters against CAA and NRC.	12/30/19	Ahmedabad	Gujarat	23.0301	72.58
https://twitter.com/MaskoorUsmani/status/1206258211679948800	AMU students bear signs of grave injuries after police stormed their campus to disperse anti-CAA protests. The right hand of a student was amputated after being hit by a tear gas shell.	12/31/19	Aligarh	Uttar Pradesh	27.8922	78.0618
https://twitter.com/alishakhan102/status/1208461878646542336?s=20	Aurangabad Police vandalising cars parked on the streets.	1/2/20	"Aurangabad, Bihar"	Bihar	24.7704	84.38
https://twitter.com/SyedYawerHussa1/status/1209296533645971456?s=08	Police hitting a car parked inside the premises of a house with lathi and brick	1/3/20	"Aurangabad, Bihar"	Bihar	24.7704	84.38
https://twitter.com/mirrorforyou3/status/1207731416655486976?s=20	"Karnataka Tourism Minister, CT Ravi (BJP), making a statement to the press that situations like Godhra might arise if the majority loses its patience"	1/4/20	Bengaluru	Karnataka	12.97	77.56
https://twitter.com/sharmasupriya/status/1209041730235842560?s=19	"Police dragging paralysed old man, gunshots being heard during the last couple of seconds of the video"	1/5/20	Bijnor	Uttar Pradesh	29.37	78.13
https://twitter.com/GauravPandhi/status/1208069417013170176?s=20	Policemen damaging cars by lathi leading to cracked glasses on the cars	1/6/20	Bulandshahr	Uttar Pradesh	28.4104	77.8484
https://twitter.com/imMAK02/status/1208094891621806080?s=08	Police attacking multiple cars	1/7/20	Bulandshahr	Uttar Pradesh	28.4104	77.8484
https://twitter.com/Akshayanath/status/1208084321480761345?s=20	Peaceful & massive crowd in Coimbatore.	1/8/20	Coimbatore	Tamil Nadu	11	76.95
https://twitter.com/Amitjanhit/status/1208229532022398978?s=20 	Turning a peaceful protest into a violent one. Charging lathis at the protestors	1/9/20	Delhi	New Delhi	28.67	77.23
