data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6715167,356,IND69135,69135,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,Telangana,Hyderabad,Hyderabad,Hyderabad,17.384,78.4563,1,"Indian Express",National,"On Jan 4, the million march, a protest against the Citizenship (Amendment) Act, 2019 (CAA) was held in Hyderabad city. Thousands attended the protest. [size=thousands]",0,1578514388,IND
6715981,356,IND69142,69142,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","CITU: Centre of Indian Trade Unions; Labour Group (India)",6,,,0,60,"Southern Asia",India,Tripura,"West Tripura",Agartala,Agartala,23.833,91.2864,1,"Tripura Infoway",Subnational,"On 4 January, activists of CITU held a support rally in Agartala (Tripura West district, Tripura) in favour of All India rally against inflation, privatization including the Citizenship (Amendment) Act, 2019, (CAA). [size=no report]",0,1578514390,IND
6714974,356,IND69138,69138,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,Karnataka,"Bengaluru Urban",Bengaluru,Bengaluru,12.9719,77.5936,1,"Deccan Herald",Subnational,"On Jan 4, protests were held in various parts of Bengaluru city against the Citizenship (Amendment) Act, 2019 (CAA). [size=no report]",0,1578514388,IND
6714472,356,IND69139,69139,"04 January 2020",2020,1,Protests,"Protest with intervention","Protesters (India)",,6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,Karnataka,Kolar,Kolar,Kolar,13.1367,78.1291,1,"Asian News International",National,"On Jan 4, police had to break up a protest in Kolar, KN against the Citizenship (Amendment) Act, 2019 (CAA). Police lathi charged to disperse the crowd but no injuries were reported. [size=no report]",0,1578514387,IND
6715518,356,IND69151,69151,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","Students (India); AJYCP: Asom Jatiyatabadi Yuva Chatra Parishad; Women (India)",6,,,0,60,"Southern Asia",India,Assam,Dibrugarh,Dibrugarh,Dibrugarh,27.4727,94.9121,1,Telegraph,International,"On 4 January, nearly 500 activists of AJYCP, AASU, Sadou Asom Matak Yuba Chatra Sanmilan and Brihottar Asomiya Mahila (Women) Manch took out a torchlight rally in Pepoltol Tiniali in Dibrugarh town (Dibrugarh district, Assam), shouting slogans and demanding scrapping of the Citizenship (Amendment) Act, 2019 (CAA). [size=nearly 500]",0,1578514389,IND
6715519,356,IND69155,69155,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","Students (India)",6,,,0,60,"Southern Asia",India,"Arunachal Pradesh",Namsai,Namsai,Namsai,27.6691,95.8644,1,Telegraph,International,"On 4 January, thousands of people belonging to the Assamese community took to the streets Namsai city and marched from Tinali to Golden Pagoda (Arunachal Pradesh) to protest against the Citizenship (Amendment) Act, 2019 (CAA). The rally was supported by people from all walks of life, organisations like Neso and AAPSU and many NGOs of the state. [size=thousands]",0,1578514389,IND
6714506,356,IND69146,69146,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","Students (India)",6,,,0,60,"Southern Asia",India,Assam,"Kamrup Metropolitan",Guwahati,Guwahati,26.1892,91.7722,1,"Assam Tribune",Subnational,"On 4 January, nearly 500 students of Cotton University including members of AASU held a sit-in demonstration in front of the main gate of the university in Guwahati (Kamrup Metropolitan district, Assam) in protest against the contentious Citizenship (Amendment) Act, 2019 (CAA). [size=nearly 500]",0,1578514387,IND
6715531,356,IND69148,69148,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","Students (India); AJYCP: Asom Jatiyatabadi Yuva Chatra Parishad",6,,,0,60,"Southern Asia",India,Assam,Dibrugarh,Tengakhat,"Bokuloni Gaon No 1",27.3371,95.4184,1,Telegraph,International,"On 4 January, activists of AJYCP took out a torchlight rally in Bokuloni (Dibrugarh district, Assam), protesting against the Citizenship (Amendment) Act, 2019 (CAA). [size=no report]",0,1578514389,IND
6715542,356,IND69147,69147,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","Students (India); AJYCP: Asom Jatiyatabadi Yuva Chatra Parishad",6,,,0,60,"Southern Asia",India,Assam,Dibrugarh,Tengakhat,"Naoholia Tipling",27.3434,95.3581,1,Telegraph,International,"On 4 January, activists of AJYCP took out a torchlight rally in Naoholia (Dibrugarh district, Assam), protesting against the Citizenship (Amendment) Act, 2019 (CAA). [size=no report]",0,1578514389,IND
6715545,356,IND69149,69149,"04 January 2020",2020,1,Protests,"Peaceful protest","Protesters (India)","Students (India); AJYCP: Asom Jatiyatabadi Yuva Chatra Parishad",6,,,0,60,"Southern Asia",India,Assam,Dibrugarh,Tengakhat,Ushapur,27.2886,95.3973,1,Telegraph,International,"On 4 January, activists of AJYCP took out a torchlight rally in Ushapur (Dibrugarh district, Assam), protesting against the Citizenship (Amendment) Act, 2019 (CAA). [size=no report]",0,1578514389,IND
